Consensus Group Food Resource;Asellus;Chironomidae;Cloeon;Gammarus;Gastropoda;Hirudinea;Nepomorpha;Odonata;Oligochaeta;Tanypodinae;Chaoborus;CladoceraPhytophilous;CladoceraSmall;CopepodaHerbivorous;CopepodaPredatory;Daphnidae;Simocephalus;RotiferaHerbivorous1;RotiferaHerbivorous2
PeBlueGreens;1;1;1;1;1;;;;;;;1;;;;;;;
PeDiatoms;1;1;1;1;1;;;;;;;1;;;;;;;
PeGreens;1;1;1;1;1;;;;;;;1;;;;;;;
PhBlueGreens;;;;;;;;;;;;;1;1;1;1;1;1;1
PhCryptophytes;;;;;;;;;;;;;1;1;1;1;1;1;1
PhDiatoms;;;;;;;;;;;;;1;1;1;1;1;1;1
PhGreens;;;;;;;;;;;;;1;1;1;1;1;1;
CharaGlobularis;;;;;;;;;;;;;;;;;;;
MyriophyllumSpicatum;;;;;;;;;;;;;;;;;;;
Asellus;;;;;;;1;;;;;;;;;;;;
Chironomidae;;;;;;;1;1;;1;;;;;;;;;
Cloeon;;;;1;;;1;1;;;;;;;;;;;
Gammarus;;;;;;;;1;;;;;;;;;;;
Gastropoda;;;;;;;;;;;;;;;;;;;
Nepomorpha;;;;;;1;;;;;;;;;;;;;
Odonata;;;;;;1;;;;;;;;;;;;;
Oligochaeta;;;;1;;;;;;1;;;;;;;;;
Tanypodinae;;;;1;;;;1;;;;;;;;;;;
Chaoborus;;;;;;1;1;1;;;;;;;;;;;
CladoceraPhytophilous;;;;;;;1;1;;;1;;;;;;;;
CladoceraSmall;;;;;;;1;1;;;1;;;;;;;;
CopepodaHerbivorous;;;;1;;;;1;;;;;;;;;;;
CopepodaPredatory;;;;;;;;1;;;;;;;;;;;
Daphnidae;;;;1;;;;1;;;1;;;;;;;;
Simocephalus;;;;;;;;1;;;1;;;;;;;;
RotiferaHerbivorous1;;;;;;;;;;;1;;;;1;;;;
RotiferaHerbivorous2;;;;;;;;;;;1;;;;1;;;;
FPOM;1;1;1;1;;;;;1;;;;;;;;;;
