day	daily mean
1	3.17
2	1.62
3	0.55
4	0.00
5	0.00
6	0.04
7	0.00
8	0.06
9	0.16
10	0.22
11	0.03
12	0.75
13	0.57
14	0.20
15	0.04
16	0.07
17	0.09
18	0.46
19	1.35
20	2.50
21	3.96
22	3.73
23	2.45
24	1.25
25	0.21
26	0.13
27	0.05
28	1.14
29	3.90
30	3.38
31	0.97
32	0.43
33	1.10
34	3.67
35	4.40
36	4.24
37	3.71
38	1.78
39	0.06
40	0.06
41	0.03
42	0.28
43	0.03
44	0.18
45	0.41
46	0.46
47	2.63
48	4.73
49	5.11
50	4.97
51	6.25
52	7.85
53	8.10
54	8.93
55	10.35
56	11.08
57	10.10
58	7.75
59	6.32
60	6.02
61	6.34
62	7.23
63	6.84
64	4.94
65	4.08
66	3.78
67	3.64
68	2.55
69	2.42
70	4.59
71	4.88
72	4.55
73	3.77
74	3.68
75	3.43
76	2.83
77	2.52
78	2.77
79	3.35
80	3.37
81	2.83
82	3.20
83	5.00
84	6.40
85	7.33
86	7.10
87	7.15
88	8.76
89	10.50
90	12.44
91	13.85
92	11.55
93	9.21
94	8.11
95	5.91
96	3.26
97	1.43
98	1.56
99	3.44
100	4.48
101	4.24
102	3.39
103	3.68
104	4.26
105	4.64
106	4.88
107	5.74
108	6.48
109	6.74
110	7.25
111	8.85
112	9.44
113	10.21
114	10.68
115	10.23
116	10.35
117	10.79
118	11.64
119	10.52
120	8.57
121	8.89
122	8.89
123	8.64
124	8.44
125	8.01
126	7.40
127	7.05
128	7.73
129	12.03
130	14.73
131	13.94
132	13.54
133	13.13
134	12.53
135	12.15
136	11.71
137	11.58
138	11.40
139	11.58
140	12.00
141	12.28
142	10.67
143	10.18
144	10.56
145	9.51
146	9.10
147	9.31
148	10.76
149	13.44
150	15.49
151	17.22
152	18.50
153	19.72
154	20.20
155	20.55
156	18.73
157	16.19
158	16.48
159	18.01
160	20.32
161	21.95
162	22.77
163	21.49
164	20.56
165	21.53
166	22.82
167	23.45
168	24.99
169	25.46
170	24.85
171	24.00
172	21.72
173	17.30
174	14.62
175	14.51
176	16.60
177	18.37
178	19.60
179	20.41
180	21.02
181	18.53
182	15.88
183	16.21
184	18.23
